Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
47,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,84.8,82.0,2.81,1.46,0.00,4.94,1.12,0.00,0.00,0.00,0.00,0.00,74.0,3.60,7.19,65.5,13.0,2.36,1.24,0.34,78.9,0.00,0.34,0.79,0.79,Matches
48,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,4.2,43.6,43.3,0.24,0.24,0.00,4.76,0.71,0.48,0.00,0.00,0.00,0.00,35.7,3.81,4.05,5.00,36.0,1.19,0.00,0.24,40.0,0.00,0.24,0.71,0.00,Matches
49,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,30.3,28.7,1.54,0.34,0.17,4.70,0.51,0.09,0.00,0.00,0.00,0.00,21.8,5.47,2.99,5.04,22.5,1.03,1.03,0.26,24.6,0.09,0.77,0.77,1.20,Matches
50,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,55.8,51.2,4.62,2.20,0.00,6.21,0.98,0.53,0.15,0.08,0.00,0.00,42.3,4.17,9.32,7.42,43.5,1.89,2.27,0.00,45.9,0.08,1.74,0.45,0.76,Matches
51,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,29.7,75.8,72.7,3.13,1.68,0.17,6.57,1.52,0.98,0.03,0.00,0.03,0.00,57.9,6.06,11.8,62.9,8.75,2.29,1.35,0.07,64.5,0.37,0.91,1.21,1.18,Matches
52,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22,1998,16.7,54.6,42.7,11.9,1.08,0.00,4.49,1.14,0.90,0.00,0.00,0.00,0.00,31.7,14.3,8.68,3.59,38.5,1.26,10.8,0.12,43.5,0.18,1.14,1.80,1.74,Matches
53,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,es La Liga,18,2001,0.8,20.0,20.0,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,18.8,1.25,0.00,2.50,17.5,0.00,0.00,0.00,17.5,0.00,1.25,0.00,0.00,Matches
54,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,13.8,22.8,21.7,1.16,0.07,0.00,6.01,0.07,0.00,0.00,0.00,0.00,0.00,14.4,5.29,3.12,2.68,16.0,1.59,0.00,1.01,17.3,0.00,0.07,0.65,0.87,Matches
55,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,31,1989,33.6,87.3,79.2,8.07,0.89,0.21,5.98,1.25,3.36,0.09,0.00,0.00,0.00,65.0,13.8,8.48,68.3,10.7,0.92,7.08,0.18,74.6,0.18,0.71,1.61,2.89,Matches
56,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,27,1992,29.1,66.7,57.8,8.93,2.51,0.52,10.9,2.37,1.27,4.02,1.89,1.20,0.38,47.8,7.39,11.5,3.23,61.3,0.79,0.72,0.34,52.2,0.52,0.69,1.72,1.51,Matches
57,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,58.0,56.0,1.97,1.82,0.00,5.35,1.94,0.09,0.00,0.00,0.00,0.00,45.9,4.08,8.03,8.50,46.3,2.08,0.12,0.03,51.9,0.06,0.87,0.40,0.55,Matches
58,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,19.4,47.6,42.5,5.10,0.52,0.31,7.78,1.70,3.76,1.60,0.26,0.57,0.21,27.0,9.74,10.9,3.51,38.9,1.29,2.99,0.31,32.7,0.31,0.82,1.55,3.71,Matches
59,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,16.0,13.9,2.09,0.00,0.35,2.33,0.35,0.35,0.00,0.00,0.00,0.00,9.94,3.90,2.15,2.09,11.9,1.10,0.06,0.29,11.7,0.17,0.23,0.76,0.58,Matches
60,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,26.7,25.1,1.58,1.58,0.00,2.67,2.38,0.00,0.00,0.00,0.00,0.00,15.8,1.88,9.01,0.99,22.7,2.18,0.00,0.20,20.2,0.20,0.59,0.30,0.40,Matches
