Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
136,Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,it Serie A,29,1990,20.2,37.7,44.6,84.5,715.4,137.2,15.7,17.7,89.1,16.2,18.3,88.6,4.80,6.73,71.3,0.00,0.01,-0.01,0.40,2.77,0.79,0.15,2.52,Matches
137,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DFMF,Cagliari,it Serie A,31,1988,2.5,37.2,43.6,85.3,742.0,202.8,14.0,15.2,92.1,16.0,18.0,88.9,6.80,9.60,70.8,0.00,0.00,0.00,0.00,3.20,0.80,0.00,2.80,Matches
138,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,8.5,34.6,41.5,83.3,646.0,170.6,15.3,16.9,90.3,13.6,16.0,85.3,4.82,6.82,70.7,0.00,0.02,-0.02,0.71,3.41,0.47,0.00,3.06,Matches
139,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36.0,28.7,36.3,79.0,825.7,477.6,4.89,4.89,100.0,14.2,14.4,98.5,9.44,16.8,56.1,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,Matches
140,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,24,1996,20.8,38.8,48.4,80.2,638.8,144.6,21.5,23.6,91.2,12.3,14.7,83.3,4.18,7.31,57.2,0.10,0.14,-0.05,1.73,2.16,1.83,0.48,3.61,Matches
141,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,1.1,7.27,17.3,42.1,125.5,62.7,4.55,9.09,50.0,1.82,2.73,66.7,0.91,3.64,25.0,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.91,Matches
142,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,31.8,30.3,39.4,77.0,482.0,112.9,16.4,20.2,81.6,9.62,12.0,80.1,2.89,3.90,74.2,0.41,0.26,0.15,1.89,1.86,1.64,0.16,3.65,Matches
143,Roger Assalé\Roger-Assale,ci CIV,FWMF,Dijon,fr Ligue 1,26,1993,9.2,13.7,19.9,68.9,231.7,52.1,7.61,10.1,75.3,4.46,6.74,66.1,1.52,2.07,73.7,0.11,0.07,0.04,0.43,0.54,0.65,0.11,1.52,Matches
144,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,21,1999,9.3,29.0,36.1,80.4,515.1,100.0,12.9,15.5,83.3,11.8,14.0,84.6,3.44,4.84,71.1,0.00,0.01,-0.01,0.22,3.12,0.43,0.11,2.15,Matches
145,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,24,1996,10.6,47.9,59.7,80.3,783.5,237.3,25.0,28.4,88.0,18.7,21.7,86.1,3.40,6.70,50.7,0.00,0.05,-0.05,0.47,2.26,1.13,0.66,3.87,Matches
146,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,1989,25.9,20.0,26.7,75.0,304.4,58.2,11.2,13.7,81.4,7.07,9.19,76.9,1.08,1.97,54.9,0.12,0.11,0.01,0.85,0.69,1.04,0.35,1.93,Matches
147,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37.0,23.6,33.9,69.6,766.9,452.8,2.65,2.70,98.0,9.97,10.1,99.2,10.9,21.1,51.7,0.03,0.01,0.02,0.03,0.27,0.00,0.00,0.00,Matches
148,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,43.9,57.3,76.6,760.4,313.4,19.8,22.2,89.5,19.7,24.6,80.1,3.70,8.07,45.8,0.08,0.09,-0.00,0.81,2.55,1.15,0.53,4.62,Matches
149,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,0.4,12.5,12.5,100.0,125.0,0.00,12.5,12.5,100.0,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
150,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,26,1994,21.7,35.9,53.8,66.8,665.3,316.3,16.2,18.9,85.6,14.7,19.3,76.3,4.75,13.7,34.6,0.18,0.13,0.06,1.98,2.07,1.34,1.06,3.36,Matches
